organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
National Debt Helpline,Online,National Debt Helpline,Statewide,Contact form on https://ndh.org.au/about-national-debt-helpline/contact-us/,1800007007,ndh.org.au,Not explictly a mental health service but was included in original list and can provide significant mental health benefits.,No timeframe,No,Yes,No,Monday to Friday 9:30am - 4:30pm,,,,,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
National Disability Abuse and Neglect Hotline,Online,National Disability Abuse and Neglect Hotline,Statewide,crrs@workfocus.com,1800 880 052,https://www.betterhealth.vic.gov.au/health/serviceprofiles/national-disability-abuse-and-neglect-hotline-service,,No timeframe,No,Yes,No,,PO Box 1764,Osborne Park Dc,WA,6916,Free,Online,"Low intensity, Self management",Free call,Mental illness prevention,Specialised Services,
Neami National,Broadmeadows,Neami National,North Western Melbourne,NorthernMelbournePSS@neaminational.org.au,+61 1300 052 588,Commonwealth Psychosocial Support Service - Northern Melbourne | Neami National,,Not applicable,No,Yes,No,,"Level 2, Building A, 61 Riggall Street",Broadmeadows,VIC,3047,N/A,"In person, Online","High intensity, Low intensity, Moderate intensity, Self management",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Neami National,Fairfield,Neami National,North Western Melbourne,wadambawilam@neaminational.org.au,+61 3 9481 0323,https://www.neaminational.org.au/find-services/wadamba-wilam-renew-shelter/,,Not applicable,No,Yes,No,,305 Arthur Street,Fairfield,VIC,3078,N/A,Outreach,"High intensity, Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Homeless",
Neami National,Hawthorn,Neami National,Statewide,hawthorn@neaminational.org.au,+61 3 8842 9387,https://www.neaminational.org.au/find-services/neami-hawthorn-yrrs/,,Not applicable,No,Yes,No,,107 Denham Street,Hawthorn,VIC,3122,N/A,In person,"High intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Young People,"Peer worker, Vocationally qualified"
Neami National,Whittlesea,Whittlesea Mental health and Wellbeing Local,North Western Melbourne,whittlesealocalservice@neaminational.org.au,+61 1800 571 145,Whittlesea Mental Health and Wellbeing Local | Neami National,,Not applicable,No,Yes,Yes,Saturday: 12 PM - 7:30,,,,,Free,In person,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Adult,
NEDC - Service Locator,Online,NEDC - Service Locator,Statewide,info@nedc.com.au,,https://nedc.com.au/support-and-services/service-locator/,Online database to assist with frinding servics related to treatment of eating disorders,No timeframe,Yes,Yes,Yes,Website database,,,,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,
New View Psychology,Cairnlea,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1300 830 687,https://newviewpsychology.com.au/,,Less than a week,No,Yes,No,,One West Family Clinic 1 Furlong Road,Cairnlea,VIC,3023,Paid,"In person, Online","Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Young People",Tertiary qualified
New View Psychology,Craigieburn,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1301 830 687,https://newviewpsychology.com.au/,,Less than a month,No,Yes,No,,"Suite 203, Level 2, 420-440 Craigieburn Road",Craigieburn,VIC,3064,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Young People",Tertiary qualified
New View Psychology,Donvale,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1302 830 687,https://newviewpsychology.com.au/,,Less than a month,No,Yes,Yes,"Tuesday, Wednesday and Thursday afternoons from 4.30pm to 7.30pm",5/90 Mitcham Road,Donvale,VIC,3111,Paid,Online,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Young People",Tertiary qualified
New View Psychology,Doreen,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1303 830 687,https://newviewpsychology.com.au/,,Less than a month,No,Yes,No,,"Suite 6 (1st Floor)101 Hazel Glen Dr, Doreen VIC 3754. (NORTH EASTERN CHIROPRACTIC)",,,,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Young People",Tertiary qualified
New View Psychology,Eltham,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1304 830 687,https://newviewpsychology.com.au/,,Less than a month,No,Yes,No,,Unit 3/286 Bolton Street,Eltham,VIC,3095,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Young People",Tertiary qualified
New View Psychology,Essendon,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1306 830 687,https://newviewpsychology.com.au/,,Less than a week,No,Yes,Yes,"Tuesday, Wednesday and Thursday afternoons from 4.30pm to 7.30pm",70A Bulla Road,Essendon North,VIC,3041,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
New View Psychology,Glen Waverley,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1310 830 687,https://newviewpsychology.com.au/,,No timeframe,No,Yes,No,,Waverley Medical Centre - 244 Springvale Road,Glen Waverley,VIC,3150,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Young People",Tertiary qualified
New View Psychology,Hawthorn,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1315 830 687,https://newviewpsychology.com.au/,Some appointments available Saturdays,Less than a week,No,Yes,Yes,,"C/O Glenferrie Consulting Group Glenferrie Consulting Group, Suite 1, 821 Glenferrie Road",Hawthorn,VIC,3122,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Families, Older Adults, Young People",Tertiary qualified
New View Psychology,Hoppers Crossing,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1318 830 687,https://newviewpsychology.com.au/,,Less than 3 months,No,Yes,No,,Potter Chiropractic Centre 320 Heaths Road,Hoppers Crossing,VIC,3029,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Families, Young People",Tertiary qualified
New View Psychology,Hurstbridge,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1307 830 687,https://newviewpsychology.com.au/,,Less than a month,No,Yes,No,,"Hurstbridge Community Hub, 50 Graysharps Road",Hurstbridge,VIC,3099,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Young People",Tertiary qualified
New View Psychology,Kew,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1308 830 687,https://newviewpsychology.com.au/,,Less than a month,No,Yes,No,,39 Denmark Street,Kew,VIC,3101,Paid,Online,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Young People",Tertiary qualified
New View Psychology,Lilydale,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1309 830 687,https://newviewpsychology.com.au/,,No timeframe,No,Yes,No,,"Lilydale Doctors, 116 Main Street",Lilydale,VIC,3140,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Older Adults, Young People",Tertiary qualified
New View Psychology,Lysterfield,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1311 830 687,https://newviewpsychology.com.au/,,No timeframe,No,Yes,No,,10 Farmillo Court,Lysterfield,VIC,3156,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
New View Psychology,Moonee Ponds,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1319 830 687,https://newviewpsychology.com.au/,,Less than a week,No,Yes,No,,852 Mt Alexander Road,Moonee Ponds,VIC,3039,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, AOD, Children, Families, Young People",Tertiary qualified
New View Psychology,Mooroolbark,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1313 830 687,https://newviewpsychology.com.au/,,No timeframe,No,Yes,No,,108 Brice Avenue,Mooroolbark,VIC,3138,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, AOD, Children, Families, Young People",Tertiary qualified
New View Psychology,Mulgrave,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1312 830 687,https://newviewpsychology.com.au/,,No timeframe,No,Yes,No,,433 Police Rd,Mulgrave,VIC,3170,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Older Adults",Tertiary qualified
New View Psychology,Preston,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1314 830 687,https://newviewpsychology.com.au/,,No timeframe,No,Yes,No,,654 Bell Street,Preston,VIC,3072,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children",Tertiary qualified
New View Psychology,Rowville,New View Psychology,Statewide,nvpadmin@newviewpsychology.com.au,1316 830 687,https://newviewpsychology.com.au/,,Not applicable,No,Yes,No,,12-14 St Lawrance Way,Rowville,VIC,3178,Paid,In person,"Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, AOD, Children, Families, Young People",Tertiary qualified
